,desc,location,size,value
44,"This property consists of 10 bedrooms, all en-suite suitable for a large family. All rooms are spread evenly around the house giving access from 2 staircases.
The property is in the heart of Hardy area in Karen. The spacious garden adds onto the charm of the property yet providing sufficient parking for the whole family. This development reassures uniqueness in a home.","Hardy, Karen, Langata",10,150000000
207,"Its a 3 level townhouse, with a detached servant quarter,in an acre of land,easily accessible from the main road,in a gated community in a safe vicinity.","Lavington, Dagoretti North",10,650000
288,">it is on a stand alone compound
>compound is fully fenced with live wire
>it has a swimming pool
>all bedrooms are master ensuite
>security is 24/7","Karen, Langata",10,120000000
317,"A contemporary standalone old style 10 bedroom house on 1.3 acres Beautiful Mature Garden off Ruaka road, old Runda. Private driveway, Electric gate with video com, Step down lounge opening to the vast Garden, Guest cloak room, Home office cum study, large dinning, Modern spacious kitchen, Family room, Safe Haven, Master with private home office/study room & terrace plus direct access to the garage, Covered Carport and extra parking for up to 30 cars, Staff Quarters for 3, Dog kennels, perimeter wall and electric fence.","Ruaka Road, Runda, Kiambu",10,160000000
461,"This is an Asian house located in Nairobi West Ghandhi avenue which has been divided into several units and commercial units with an income of 320 K monthly with great room for improvement.
The property is sitting on 0.177 acres of land which is slightly bigger than a 1/8 acre which is 0.125 acres,
Serious offer are welcome.
Viewing stricly on appointment","Nairobi West, Langata",10,80000000
107,"Empire global developers and property managersthis is a beautiful 9 bedroom 7 bedroom ensuite mansion in kiamumbi on kano street the property is in a gated community' on a plot of size 60x100 with title.The property has very spacious rooms, a beautiful kitchen with a store, a mature garden with parking of up to 8 cars. The area is very developed with very beautiful views and with a lot of fresh air. The home is just 45 min from the nairobi cbd, rental income for this house is between 80 k to 100 k per month.The price is negotiable.You dream it we build it.","Kahawa West, Kiambu",9,33000000
122,"5 BEDROOM MANSION (ALL ENSUITE) WITH TWO GUEST WINGS OF EACH TWO BEDROOMS BEING SOLD AT 61 MILLION SHILLINGS.
THE TWO GUEST WINGS HAVE A TOTAL MONTHLY RENT OF 80 K.
THE PROPERTY SITS ON HALF AN ACRE AND IS ONLY 500 M LOCATED 500 METRES FROM MOUNTAIN,1KM FROM GARDEN CITY AND 2 KMS FROM THIKA ROAD MALL.
IT IS WITHIN A SECURE TARMACKED GATED COMMUNITY.","Garden Estate, Kiambu",9,61000000
404,"The Two residences of very high standard are located in the Prime area of Muthaiga.
The homes are set on 0.7 ha and feature unobstructed views of the Karura Forest, Luxurious Poolside entertaining areas, mature landscaping and a remarkably private setting.
There is an empty plot on the lower garden of aprox. 1/2 acre.
The owner offers both the houses for Sale together, with possibly retaining a long lease on the second house.
Main House :- 4 Bedroom , 4.5 Bathrooms, Swimming Pool:-
Built in 1958: completely renovated in 1997:- extended and re-roofed in 2014, the spacious floor plans offers grand rooms with soaring ceilngs, wild olive parquet flooring and stunning forest and garden views throughout.
Garden Floor:- Huge Ballroom and wine cellar with direct access onto the garden and Pool terrace for seamless indoor and outdoor entertainment.
Ground Floor:- The spacious Entrance hall incl. Cloakroom leads to the living room with a stone fireplace and out onto the open terrace and covered veranda. An office/ Study is located off the sitting room . The Kitchen connects to the breakfast room , servery and dining room. The Dhobi and store rooms are situated behing the Kitchen.
First Floor:- The master bedroom features awe-inspiring views over the forest and comes complete with a walk-in wardrobe, bathroom ,TV room and Open Terrace.
The property has 3 further bedrooms, all with en suite bathrooms.
The Swimming Pool is set in a level lawn and Gazebo providing gorgeious views to the forest. The mature garden has paved walkways, steps and thoutful landscaping throughout, as well as childrens playhouse and sandpit. A Store is conveniently located under the pool terrace.
The Property features a lockable garage for two cars, a covered carport and open parkingfor about 10 cars. Four Domestic Quarters and gaurdhouse with WC and Shower.
Second House:- 4 Bedrooms, 4.5 Bathrooms, Swimming Pool and large studio Flat.
Built in 1997: extended in 2015, the property offers serenity, privacy and panoramic views of the forest. Anchoring the living area is a curved staircase leading to a beautiful sunken fireplace. The floor plan connects the inside seamlessly with outdoor living and entertaining terraces, a Swimming Pool and two view Gazebos surrounded by luch gardens and landscaping.
Ground floor:- Entrance hall, cloakroom, sitting room, study, sunken fireplace, dining room, guest room with en-suite bathroom, kitchen , dhobi, yard, wine cellar below.
Upstairs:- Master Bedroom with dressing room, Bathroom , small balcony ; two further bedrooms also with bathrooms en-suite.
Swimming Pool:- Set within a huge paved terrace with two gazebos and covered seating / dining areas.
Garden floor:- Self-contained studio flat with one bedroom , one bathroom, expansive sitting/ dining area, Kitchen, spare room , store , two outside paved sitting areas and a walled-in private garden.
Two Lockable garages, two shaded carports, parking for about 10 cars. Workshop, garden store, three domestic staff quarters. Guard house near the gate and store below the Pool Terrace.","Off Tchui Lane, Old Muthaiga, Muthaiga",9,450000000
124,"This exclusive Ambassadorial home is set in a lush haven of tranquility and privacy with panoramic views of the mature landscaped garden and the driveway, epitomizing the perfect marriage of architectural magnificence and opulence.
Modern and sophisticated, offering double volume ceilings, light, space and fabulous attention to detail with a warm blend of Italian marble flooring, classic moldings and proportionate false ceilings and light fittings.
The balance of the large windows with beautiful views of the outside brings in the perfect hues of colors into the interior setting of the rooms.The property is Freehold.
The drive way leads to a double height porte cochere and into the entrance lobby of the house. The main lounge opens up to the focal point of the house - the copper fireplace which divides the lounge from the large dining space and opening up to the beautiful garden outside. The courtyard with mosaic tiles and the art work with the added luxury of the semi indoor swimming pool, bar and entertainment area - a truly remarkable experience!
The house consists of:
GROUND FLOOR:
Entrance lobby
Guestrooms for 2, en-suite
Main lounge with bar on the side
Large Dining area
2 more lounges including a TV room on the side
Large kitchen with 2 pantries
outside kitchen and laundry area
FIRST FLOOR:
Large lobby
Main master bedroom with a state of the art bathroom and dresser unit
Additional Guestrooms for 2 all en-suite
Large balconies and Roof Terraces
GUEST WING:
2 sets of units with 2 bedroom
kitchen and toilet/ bathroom
BUILT UP AREAS :13,000 sq ft approx.","Lavington, Dagoretti North",8,425000000
260,"•	Flat, rectangular shaped 0.773 acre plot ideal for re-development. Existing on the property is 2×4 bed bungalows.
•	All mains connected
•	Freehold
Price guideline: KSh.280M “Or nearest offer”.","Lavington, Dagoretti North",8,280000000
