,desc,location,size,value
950,5 Bedroom Tonwhouse Corner House in Lavington,"MASADUKU LINE, Lavington, Nairobi, Nairobi",14,52000000
573,Ambassadorial Palace in Spring Valley,"peponi road, Spring Valley, Nairobi, Nairobi",11,280000000
601,Spring Valley Ambassadorial Palace,"Spring Valley, Nairobi, Nairobi",11,290000000
288,10 Bedroom House in Karen- 3KE1375839,"Hardy, Karen, Nairobi, Nairobi",10,150000000
485,10 Bedroom House For Sale In Karen (Kenya) - 3KE1375839,"Karen, Nairobi, Nairobi",10,150000000
817,10 Bedroom House for sale in Spring Valley,"Spring Valley, Spring Valley, Nairobi, Nairobi",10,315000000
904,Magnificient 10 bed Mansion on half acer in Kar,"Koitabas Road, Karen, Nairobi, Nairobi",10,140000000
956,Exclusive 10 Bedroom Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",10,380000000
1115,10 Bedroom Town-House for sale in Karen,"Karen, Nairobi, Nairobi",10,40000000
1200,5  Bedroom House  To Let,"Gigiri, Gigiri, Nairobi, Nairobi",10,300000000
218,2 Exceptional Houses in the Heart of Old Muthaiga on 1.8 acres.,"Off Tchui Lane - Old Muthaiga, Muthaiga, Nairobi, Nairobi",9,450000000
567,9 bedrooms townhouse in kiamumbi kamiti road 7 ensuite,"Kiamumbi, Nairobi, Nairobi",9,42000000
1021,9 Bedroom House for sale in Kisumu Cbd,"Kisumu, Achieng' Oneko Rd, Riruta, Nairobi, Nairobi",9,80000000
1231,Colonial Style 9 Bedroom Home for sale,"Lower Kabete, Nairobi, Nairobi",9,180000000
64,8 Bedroom Townhouse Redhill Limuru,"Limuru Road, Redhill, Limuru road, Nairobi, Nairobi",8,67000000
110,Plot with Two Houses on Kyuna Road,"Kyuna Rd, Kyuna, Nairobi, Nairobi",8,145000000
268,8 Bedroom House on 2.5 Acres,"Gigiri, Nairobi, Nairobi",8,650000000
314,8 Bedroom House in Karen,"Karen, Karen, Nairobi, Nairobi",8,150000000
574,Stylish Courtyard Home in Kikenni,"Karen & Langata, Karen, Nairobi, Nairobi",8,0
636,8 Bedroom House in Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",8,145000000
686,8 Bedroom Townhouse for sale in Lavington,"Muthangari Road, Lavington, Nairobi, Nairobi",8,80000000
690,8 Bedroom House in Karen,"Karen, Nairobi, Nairobi",8,85000000
726,"6 Bedroom Home & Guest House on 33 Acres, Mukoma Estate","Langata, Nairobi, Nairobi",8,165000000
766,8 bedroom House for sale in Nyari,"Red Hill Road, Nyari, Nairobi, Nairobi",8,120000000
1122,8 Bedroom House for sale in Lavington,"James Gichuru, Lavington, Nairobi, Nairobi",8,180000000
1154,Karen-Outstanding 8 Bedroom House,"Karen-outstanding 8 bedroom house for sale, Karen, Nairobi, Nairobi",8,80000000
1306,"4 Bedroom Main House & Guest Cottages on 3.2 Acre of Land, Karen","Karen, Nairobi, Nairobi",8,175000000
1317,8 Bedroom House  for sale,"MUSA GITAU ROAD, Lavington, Nairobi, Nairobi",8,150000000
1378,8 bedroom All Ensute Townhouse for sale in Runda,"Ruaka Drive, Runda, Nairobi, Nairobi",8,120000000
1400,8 bedroom House for sale in Nyari,"Nyari, Nyari, Nairobi, Nairobi",8,125000000
53,KAREN - 3 & 4 BEDROOMS HOUSES(X 2) ON 2 ACRES.,"OFF WINDY RIDGE, Karen, Nairobi, Nairobi",7,165000000
81,7 Bedroom in Runda Mimosa Vale,"mimosa valley, Runda, Nairobi, Nairobi",7,100000000
107,World Class Luxurious 5 Bedrooms Plus 2 Bedrooms Guest Wing Home in Runda.,"Runda, Nairobi, Nairobi",7,150000000
301,"Beauty, Passion, Breathtaking ! 7 Bedroom House","spring valley, Spring Valley, Nairobi, Nairobi",7,150000000
316,Ambassadorial Houses For Sale Along Kanjata Rd Lavington with Swimming Pool,"kanjata rd, Lavington, Nairobi, Nairobi",7,250000000
335,Luxurious  7 Bedrooms  House  in Runda,"Runda, Nairobi, Nairobi",7,220000000
360,7 Bedroom House for sale in Loresho Crescent on Approximately 12 Acre Land,"loresho crescent, Loresho, Nairobi, Nairobi",7,85000000
487,3/4 Acre,"Isaac Gathanju road, Lavington, Nairobi, Nairobi",7,180000000
509,7 Bedroom House in 1 Acre Land,"Thigiri, Nairobi, Nairobi",7,175000000
553,"Villa- Ridgeways, Kiambu Road","Ridgeways kiambu road, Ridgeways, Nairobi, Nairobi",7,195000000
657,Spacious 7 Bedroom Maisonette in Kitengela,"Kitengela, Kiserian, Nairobi, Nairobi",7,14500000
735,2 Beautiful Homes in Tranquil Karen Location,"Karen, Nairobi, Nairobi",7,165000000
805,Touch of class! Runda Mimosa 7 bed Townhouse.,"Runda, Nairobi, Nairobi",7,140000000
949,7 bedroom House for sale in Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",7,140000000
972,Modern 7 Bedroom House in Thome,"Mukuyu road, Thome, Nairobi, Nairobi",7,55000000
979,7 Bedroom House for sale in Runda,"Runda, Runda, Nairobi, Nairobi",7,150000000
1051,House for sale in Karen Estate,"Karen, Nairobi, Nairobi",7,95000000
1053,Thome House next to Windsor,"Thome, Nairobi, Nairobi",7,60000000
1079,104 Acres With A 5 Bedroom House for sale in Karen (Miotoni),"Miotoni Road, Karen, Nairobi, Nairobi",7,640000000
1101,"Amazing 7 Bedroom House, Westlands","Westlands, Westlands, Nairobi, Nairobi",7,350000000
1107,7 Bedroom House,"dog unit, Langata, Nairobi, Nairobi",7,27000000
1114,7 Bedroom House for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",7,250000000
